Title,Wirkstoff,Wirkstoff-Gruppe,Max. Einsätze pro Jahr,Dosis pro HL,Dosis pro HA,Karenzzeit,bienengefährlich,Einschränkung
Penncozeb DG,"max. 4 Behandlungen mit Mancozeb pro Jahr, max. 5 Behandlungen mit Dithiocarbamaten pro Jahr","max. 4 Behandlungen mit Mancozeb pro Jahr, max. 5 Behandlungen mit Dithiocarbamaten pro Jahr","max. 4 Behandlungen mit Mancozeb pro Jahr, max. 5 Behandlungen mit Dithiocarbamaten pro Jahr","max. 4 Behandlungen mit Mancozeb pro Jahr, max. 5 Behandlungen mit Dithiocarbamaten pro Jahr","max. 4 Behandlungen mit Mancozeb pro Jahr, max. 5 Behandlungen mit Dithiocarbamaten pro Jahr","max. 4 Behandlungen mit Mancozeb pro Jahr, max. 5 Behandlungen mit Dithiocarbamaten pro Jahr",,"max. 4 Behandlungen mit Mancozeb pro Jahr, max. 5 Behandlungen mit Dithiocarbamaten pro Jahr"
Perlan,nur Apfel,,,nur Apfel,,,,nur Apfel
Picker Flow,max. 2 Behandlungen gegen Spinnmilben pro Jahr,,max. 2 Behandlungen gegen Spinnmilben pro Jahr,max. 2 Behandlungen gegen Spinnmilben pro Jahr,max. 2 Behandlungen gegen Spinnmilben pro Jahr,max. 2 Behandlungen gegen Spinnmilben pro Jahr,,max. 2 Behandlungen gegen Spinnmilben pro Jahr
Picker SC,max. 2 Behandlungen gegen Spinnmilben pro Jahr,,max. 2 Behandlungen gegen Spinnmilben pro Jahr,max. 2 Behandlungen gegen Spinnmilben pro Jahr,max. 2 Behandlungen gegen Spinnmilben pro Jahr,max. 2 Behandlungen gegen Spinnmilben pro Jahr,,max. 2 Behandlungen gegen Spinnmilben pro Jahr
Pickill EC,max. 2 Behandlungen gegen Spinnmilben pro Jahr,,max. 2 Behandlungen gegen Spinnmilben pro Jahr,max. 2 Behandlungen gegen Spinnmilben pro Jahr,max. 2 Behandlungen gegen Spinnmilben pro Jahr,max. 2 Behandlungen gegen Spinnmilben pro Jahr,max. 2 Behandlungen gegen Spinnmilben pro Jahr,max. 2 Behandlungen gegen Spinnmilben pro Jahr
Piretro Actigreen,2,,,2,,2,,
Piretro Verde,2,,,2,,2,,
"Pirimor 17,5",7,,7,7,7,7,,
Pirimor 50,7,,7,7,7,7,,
"Pivak 1,9 EW",max. 2 Behandlungen gegen Spinnmilben pro Jahr,,max. 2 Behandlungen gegen Spinnmilben pro Jahr,max. 2 Behandlungen gegen Spinnmilben pro Jahr,max. 2 Behandlungen gegen Spinnmilben pro Jahr,max. 2 Behandlungen gegen Spinnmilben pro Jahr,max. 2 Behandlungen gegen Spinnmilben pro Jahr,max. 2 Behandlungen gegen Spinnmilben pro Jahr
Plis,nur Apfel,,,nur Apfel,nur Apfel,,,nur Apfel
Polisolfuro di calcio Polisenio,30,,,30,30,30,,
Polithiol,nur in der Winterruhe,,,nur in der Winterruhe,nur in der Winterruhe,nur in der Winterruhe,,nur in der Winterruhe
Poltiglia 20 PB Manica,max. 4 kg Reinkupfer pro ha und Jahr,,max. 4 kg Reinkupfer pro ha und Jahr,max. 4 kg Reinkupfer pro ha und Jahr,max. 4 kg Reinkupfer pro ha und Jahr,max. 4 kg Reinkupfer pro ha und Jahr,,max. 4 kg Reinkupfer pro ha und Jahr
Poltiglia 20 WG Green,max. 4 kg Reinkupfer pro ha und Jahr,,max. 4 kg Reinkupfer pro ha und Jahr,max. 4 kg Reinkupfer pro ha und Jahr,max. 4 kg Reinkupfer pro ha und Jahr,max. 4 kg Reinkupfer pro ha und Jahr,,max. 4 kg Reinkupfer pro ha und Jahr
Poltiglia Bordolese Disperss,max. 4 kg Reinkupfer pro ha und Jahr,,,max. 4 kg Reinkupfer pro ha und Jahr,max. 4 kg Reinkupfer pro ha und Jahr,max. 4 kg Reinkupfer pro ha und Jahr,,max. 4 kg Reinkupfer pro ha und Jahr
Poltiglia Bordolese SCAM D.F.,max. 4 kg Reinkupfer pro ha und Jahr,,max. 4 kg Reinkupfer pro ha und Jahr,max. 4 kg Reinkupfer pro ha und Jahr,max. 4 kg Reinkupfer pro ha und Jahr,max. 4 kg Reinkupfer pro ha und Jahr,,max. 4 kg Reinkupfer pro ha und Jahr
Poltiglia Caffaro 20 DF New,max. 4 kg Reinkupfer pro ha und Jahr,,max. 4 kg Reinkupfer pro ha und Jahr,max. 4 kg Reinkupfer pro ha und Jahr,max. 4 kg Reinkupfer pro ha und Jahr,max. 4 kg Reinkupfer pro ha und Jahr,,max. 4 kg Reinkupfer pro ha und Jahr
Poltiglia Caffaro 20 GD,max. 4 kg Reinkupfer pro ha und Jahr,,max. 4 kg Reinkupfer pro ha und Jahr,max. 4 kg Reinkupfer pro ha und Jahr,max. 4 kg Reinkupfer pro ha und Jahr,max. 4 kg Reinkupfer pro ha und Jahr,,max. 4 kg Reinkupfer pro ha und Jahr
Poltiglia Disperss,max. 4 kg Reinkupfer pro ha und Jahr,,,max. 4 kg Reinkupfer pro ha und Jahr,max. 4 kg Reinkupfer pro ha und Jahr,max. 4 kg Reinkupfer pro ha und Jahr,,max. 4 kg Reinkupfer pro ha und Jahr
Poltiglia Manica 20 WG,max. 4 kg Reinkupfer pro ha und Jahr,,max. 4 kg Reinkupfer pro ha und Jahr,max. 4 kg Reinkupfer pro ha und Jahr,max. 4 kg Reinkupfer pro ha und Jahr,max. 4 kg Reinkupfer pro ha und Jahr,,max. 4 kg Reinkupfer pro ha und Jahr
Polyram DF,max. 5 Behandlungen mit Dithiocarbamaten pro Jahr,max. 5 Behandlungen mit Dithiocarbamaten pro Jahr,max. 5 Behandlungen mit Dithiocarbamaten pro Jahr,max. 5 Behandlungen mit Dithiocarbamaten pro Jahr,max. 5 Behandlungen mit Dithiocarbamaten pro Jahr,max. 5 Behandlungen mit Dithiocarbamaten pro Jahr,,max. 5 Behandlungen mit Dithiocarbamaten pro Jahr
Primial WG,"1,5 kg",,"1,5 kg","1,5 kg","1,5 kg",,,
Primisol 80 wdg,5,,,5,,5,,
Primosol 80 wdg,5,,,5,,5,,
Prodigy,"max. 2 Behandlungen mit Methoxyfenozid pro Jahr, max. 3 Behandlungen mit Chitinsynthesehemmern und Häutungsbeschleunigern pro Jahr","max. 2 Behandlungen mit Methoxyfenozid pro Jahr, max. 3 Behandlungen mit Chitinsynthesehemmern und Häutungsbeschleunigern pro Jahr","max. 2 Behandlungen mit Methoxyfenozid pro Jahr, max. 3 Behandlungen mit Chitinsynthesehemmern und Häutungsbeschleunigern pro Jahr","max. 2 Behandlungen mit Methoxyfenozid pro Jahr, max. 3 Behandlungen mit Chitinsynthesehemmern und Häutungsbeschleunigern pro Jahr","max. 2 Behandlungen mit Methoxyfenozid pro Jahr, max. 3 Behandlungen mit Chitinsynthesehemmern und Häutungsbeschleunigern pro Jahr","max. 2 Behandlungen mit Methoxyfenozid pro Jahr, max. 3 Behandlungen mit Chitinsynthesehemmern und Häutungsbeschleunigern pro Jahr",,"max. 2 Behandlungen mit Methoxyfenozid pro Jahr, max. 3 Behandlungen mit Chitinsynthesehemmern und Häutungsbeschleunigern pro Jahr"
Profile,nur Apfel,,,nur Apfel,,,,nur Apfel
Profile Plus,nur Apfel,,,nur Apfel,,,,nur Apfel
Progerbalin LG,nur Apfel,,,nur Apfel,,,,nur Apfel
Promalin NT,nur Apfel,,,nur Apfel,,,,nur Apfel
Promex,nur in der Vorblüte,,nur in der Vorblüte,nur in der Vorblüte,nur in der Vorblüte,nur in der Vorblüte,,nur in der Vorblüte
Prorex,nur Apfel,,,nur Apfel,nur Apfel,,,nur Apfel
Proximo,nur in der Vorblüte,,nur in der Vorblüte,nur in der Vorblüte,nur in der Vorblüte,nur in der Vorblüte,,nur in der Vorblüte
Pykos,"max. 4 Behandlungen mit Sterolsynthesehemmern mit demselben Wirkstoff pro Jahr; max. 6 Behandlungen mit Sterolsynthesehemmern pro Jahr, zusätzlich maximal 2 weitere Behandlungen mit Difenoconazol gegen Schorf pro Jahr","max. 4 Behandlungen mit Sterolsynthesehemmern mit demselben Wirkstoff pro Jahr; max. 6 Behandlungen mit Sterolsynthesehemmern pro Jahr, zusätzlich maximal 2 weitere Behandlungen mit Difenoconazol gegen Schorf pro Jahr","max. 4 Behandlungen mit Sterolsynthesehemmern mit demselben Wirkstoff pro Jahr; max. 6 Behandlungen mit Sterolsynthesehemmern pro Jahr, zusätzlich maximal 2 weitere Behandlungen mit Difenoconazol gegen Schorf pro Jahr","max. 4 Behandlungen mit Sterolsynthesehemmern mit demselben Wirkstoff pro Jahr; max. 6 Behandlungen mit Sterolsynthesehemmern pro Jahr, zusätzlich maximal 2 weitere Behandlungen mit Difenoconazol gegen Schorf pro Jahr",,"max. 4 Behandlungen mit Sterolsynthesehemmern mit demselben Wirkstoff pro Jahr; max. 6 Behandlungen mit Sterolsynthesehemmern pro Jahr, zusätzlich maximal 2 weitere Behandlungen mit Difenoconazol gegen Schorf pro Jahr",,"max. 4 Behandlungen mit Sterolsynthesehemmern mit demselben Wirkstoff pro Jahr; max. 6 Behandlungen mit Sterolsynthesehemmern pro Jahr, zusätzlich maximal 2 weitere Behandlungen mit Difenoconazol gegen Schorf pro Jahr"
Pyrimus 400 SC,max. 3 Behandlungen mit Anilino-Pyrimidinen pro Jahr,max. 3 Behandlungen mit Anilino-Pyrimidinen pro Jahr,max. 3 Behandlungen mit Anilino-Pyrimidinen pro Jahr,max. 3 Behandlungen mit Anilino-Pyrimidinen pro Jahr,max. 3 Behandlungen mit Anilino-Pyrimidinen pro Jahr,max. 3 Behandlungen mit Anilino-Pyrimidinen pro Jahr,,max. 3 Behandlungen mit Anilino-Pyrimidinen pro Jahr
Pyrus 400 SC,max. 3 Behandlungen mit Anilino-Pyrimidinen pro Jahr,max. 3 Behandlungen mit Anilino-Pyrimidinen pro Jahr,max. 3 Behandlungen mit Anilino-Pyrimidinen pro Jahr,max. 3 Behandlungen mit Anilino-Pyrimidinen pro Jahr,max. 3 Behandlungen mit Anilino-Pyrimidinen pro Jahr,max. 3 Behandlungen mit Anilino-Pyrimidinen pro Jahr,,max. 3 Behandlungen mit Anilino-Pyrimidinen pro Jahr
Qualy,max. 3 Behandlungen mit Anilino-Pyrimidinen pro Jahr,max. 3 Behandlungen mit Anilino-Pyrimidinen pro Jahr,max. 3 Behandlungen mit Anilino-Pyrimidinen pro Jahr,max. 3 Behandlungen mit Anilino-Pyrimidinen pro Jahr,max. 3 Behandlungen mit Anilino-Pyrimidinen pro Jahr,max. 3 Behandlungen mit Anilino-Pyrimidinen pro Jahr,,max. 3 Behandlungen mit Anilino-Pyrimidinen pro Jahr
Radar 10 EC,"max. 4 Behandlungen mit Sterolsynthesehemmern mit demselben Wirkstoff pro Jahr; max. 6 Behandlungen mit Sterolsynthesehemmern pro Jahr, zusätzlich maximal 2 weitere Behandlungen mit Difenoconazol gegen Schorf pro Jahr","max. 4 Behandlungen mit Sterolsynthesehemmern mit demselben Wirkstoff pro Jahr; max. 6 Behandlungen mit Sterolsynthesehemmern pro Jahr, zusätzlich maximal 2 weitere Behandlungen mit Difenoconazol gegen Schorf pro Jahr","max. 4 Behandlungen mit Sterolsynthesehemmern mit demselben Wirkstoff pro Jahr; max. 6 Behandlungen mit Sterolsynthesehemmern pro Jahr, zusätzlich maximal 2 weitere Behandlungen mit Difenoconazol gegen Schorf pro Jahr","max. 4 Behandlungen mit Sterolsynthesehemmern mit demselben Wirkstoff pro Jahr; max. 6 Behandlungen mit Sterolsynthesehemmern pro Jahr, zusätzlich maximal 2 weitere Behandlungen mit Difenoconazol gegen Schorf pro Jahr","max. 4 Behandlungen mit Sterolsynthesehemmern mit demselben Wirkstoff pro Jahr; max. 6 Behandlungen mit Sterolsynthesehemmern pro Jahr, zusätzlich maximal 2 weitere Behandlungen mit Difenoconazol gegen Schorf pro Jahr","max. 4 Behandlungen mit Sterolsynthesehemmern mit demselben Wirkstoff pro Jahr; max. 6 Behandlungen mit Sterolsynthesehemmern pro Jahr, zusätzlich maximal 2 weitere Behandlungen mit Difenoconazol gegen Schorf pro Jahr",,"max. 4 Behandlungen mit Sterolsynthesehemmern mit demselben Wirkstoff pro Jahr; max. 6 Behandlungen mit Sterolsynthesehemmern pro Jahr, zusätzlich maximal 2 weitere Behandlungen mit Difenoconazol gegen Schorf pro Jahr"
Radar HP,"max. 4 Behandlungen mit Sterolsynthesehemmern mit demselben Wirkstoff pro Jahr; max. 6 Behandlungen mit Sterolsynthesehemmern pro Jahr, zusätzlich maximal 2 weitere Behandlungen mit Difenoconazol gegen Schorf pro Jahr","max. 4 Behandlungen mit Sterolsynthesehemmern mit demselben Wirkstoff pro Jahr; max. 6 Behandlungen mit Sterolsynthesehemmern pro Jahr, zusätzlich maximal 2 weitere Behandlungen mit Difenoconazol gegen Schorf pro Jahr","max. 4 Behandlungen mit Sterolsynthesehemmern mit demselben Wirkstoff pro Jahr; max. 6 Behandlungen mit Sterolsynthesehemmern pro Jahr, zusätzlich maximal 2 weitere Behandlungen mit Difenoconazol gegen Schorf pro Jahr","max. 4 Behandlungen mit Sterolsynthesehemmern mit demselben Wirkstoff pro Jahr; max. 6 Behandlungen mit Sterolsynthesehemmern pro Jahr, zusätzlich maximal 2 weitere Behandlungen mit Difenoconazol gegen Schorf pro Jahr","max. 4 Behandlungen mit Sterolsynthesehemmern mit demselben Wirkstoff pro Jahr; max. 6 Behandlungen mit Sterolsynthesehemmern pro Jahr, zusätzlich maximal 2 weitere Behandlungen mit Difenoconazol gegen Schorf pro Jahr","max. 4 Behandlungen mit Sterolsynthesehemmern mit demselben Wirkstoff pro Jahr; max. 6 Behandlungen mit Sterolsynthesehemmern pro Jahr, zusätzlich maximal 2 weitere Behandlungen mit Difenoconazol gegen Schorf pro Jahr",,"max. 4 Behandlungen mit Sterolsynthesehemmern mit demselben Wirkstoff pro Jahr; max. 6 Behandlungen mit Sterolsynthesehemmern pro Jahr, zusätzlich maximal 2 weitere Behandlungen mit Difenoconazol gegen Schorf pro Jahr"
Ragnostop 10 WP,max. 2 Behandlungen gegen Spinnmilben pro Jahr,,max. 2 Behandlungen gegen Spinnmilben pro Jahr,,max. 2 Behandlungen gegen Spinnmilben pro Jahr,max. 2 Behandlungen gegen Spinnmilben pro Jahr,,max. 2 Behandlungen gegen Spinnmilben pro Jahr
Rak 3,900 St.,,,,900 St.,,,
Rak 3,,,,,,,,
Rame Caffaro Blu WG New,max. 4 kg Reinkupfer pro ha und Jahr,,max. 4 kg Reinkupfer pro ha und Jahr,max. 4 kg Reinkupfer pro ha und Jahr,max. 4 kg Reinkupfer pro ha und Jahr,max. 4 kg Reinkupfer pro ha und Jahr,,max. 4 kg Reinkupfer pro ha und Jahr
Rame Isagro WG Blu,max. 4 kg Reinkupfer pro ha und Jahr,,max. 4 kg Reinkupfer pro ha und Jahr,max. 4 kg Reinkupfer pro ha und Jahr,max. 4 kg Reinkupfer pro ha und Jahr,max. 4 kg Reinkupfer pro ha und Jahr,,max. 4 kg Reinkupfer pro ha und Jahr
Rapax,2 l,,2 l,,2 l,,,
Rasikal Pro,9 l/Jahr,,,,9 l/Jahr,,,
Rebel Top,14,,14,14,14,14,,
Rebex,max. 4 kg Reinkupfer pro ha und Jahr,,max. 4 kg Reinkupfer pro ha und Jahr,,max. 4 kg Reinkupfer pro ha und Jahr,max. 4 kg Reinkupfer pro ha und Jahr,,max. 4 kg Reinkupfer pro ha und Jahr
Regalis Plus,"2,5 kg; 3 kg/Jahr",,,,"2,5 kg; 3 kg/Jahr",,,
Regran Extra,80,,80,,80,80,,
Regulex 10 SG,nur Apfel,,,nur Apfel,nur Apfel,nur Apfel,,nur Apfel
Reldan LO,"max. 4 Behandlungen mit Phosphorestern pro Jahr, zugelassen bis 16.04.2020","max. 4 Behandlungen mit Phosphorestern pro Jahr, zugelassen bis 16.04.2020","max. 4 Behandlungen mit Phosphorestern pro Jahr, zugelassen bis 16.04.2020","max. 4 Behandlungen mit Phosphorestern pro Jahr, zugelassen bis 16.04.2020","max. 4 Behandlungen mit Phosphorestern pro Jahr, zugelassen bis 16.04.2020","max. 4 Behandlungen mit Phosphorestern pro Jahr, zugelassen bis 16.04.2020","max. 4 Behandlungen mit Phosphorestern pro Jahr, zugelassen bis 16.04.2020","max. 4 Behandlungen mit Phosphorestern pro Jahr, zugelassen bis 16.04.2020"
Rembò 10 EC,nur in der Vorblüte,,nur in der Vorblüte,nur in der Vorblüte,nur in der Vorblüte,nur in der Vorblüte,,nur in der Vorblüte
Ronstar FL,"nur in den ersten 3 Standjahren, nur bis zum 30.06.2020",,,,"nur in den ersten 3 Standjahren, nur bis zum 30.06.2020",,,"nur in den ersten 3 Standjahren, nur bis zum 30.06.2020"
Roundup  450 Plus,7,,,,7,7,,
Roundup Bioflow,7,,,,7,7,,
Roundup Platinum,7,,7,,7,7,,
Roundup Power 2.0,7,,7,,7,7,,
Runner LO,"max. 4 Behandlungen mit Phosphorestern pro Jahr, zugelassen bis 16.04.2020","max. 4 Behandlungen mit Phosphorestern pro Jahr, zugelassen bis 16.04.2020","max. 4 Behandlungen mit Phosphorestern pro Jahr, zugelassen bis 16.04.2020","max. 4 Behandlungen mit Phosphorestern pro Jahr, zugelassen bis 16.04.2020","max. 4 Behandlungen mit Phosphorestern pro Jahr, zugelassen bis 16.04.2020","max. 4 Behandlungen mit Phosphorestern pro Jahr, zugelassen bis 16.04.2020","max. 4 Behandlungen mit Phosphorestern pro Jahr, zugelassen bis 16.04.2020","max. 4 Behandlungen mit Phosphorestern pro Jahr, zugelassen bis 16.04.2020"
S. Ramedit Blu WG,max. 4 kg Reinkupfer pro ha und Jahr,,max. 4 kg Reinkupfer pro ha und Jahr,max. 4 kg Reinkupfer pro ha und Jahr,max. 4 kg Reinkupfer pro ha und Jahr,max. 4 kg Reinkupfer pro ha und Jahr,,max. 4 kg Reinkupfer pro ha und Jahr
Safran,max. 2 Behandlungen gegen Spinnmilben pro Jahr,,max. 2 Behandlungen gegen Spinnmilben pro Jahr,max. 2 Behandlungen gegen Spinnmilben pro Jahr,max. 2 Behandlungen gegen Spinnmilben pro Jahr,max. 2 Behandlungen gegen Spinnmilben pro Jahr,max. 2 Behandlungen gegen Spinnmilben pro Jahr,max. 2 Behandlungen gegen Spinnmilben pro Jahr
Samas,max. 4 kg Reinkupfer pro ha und Jahr,,max. 4 kg Reinkupfer pro ha und Jahr,max. 4 kg Reinkupfer pro ha und Jahr,max. 4 kg Reinkupfer pro ha und Jahr,max. 4 kg Reinkupfer pro ha und Jahr,,max. 4 kg Reinkupfer pro ha und Jahr
Santane DGM,max. 14 Behandlungen mit Captan und Dithianon pro Jahr,max. 14 Behandlungen mit Captan und Dithianon pro Jahr,max. 14 Behandlungen mit Captan und Dithianon pro Jahr,max. 14 Behandlungen mit Captan und Dithianon pro Jahr,max. 14 Behandlungen mit Captan und Dithianon pro Jahr,max. 14 Behandlungen mit Captan und Dithianon pro Jahr,,max. 14 Behandlungen mit Captan und Dithianon pro Jahr
Sarcap 80 WG,max. 14 Behandlungen mit Captan und Dithianon pro Jahr,max. 14 Behandlungen mit Captan und Dithianon pro Jahr,max. 14 Behandlungen mit Captan und Dithianon pro Jahr,max. 14 Behandlungen mit Captan und Dithianon pro Jahr,max. 14 Behandlungen mit Captan und Dithianon pro Jahr,max. 14 Behandlungen mit Captan und Dithianon pro Jahr,,max. 14 Behandlungen mit Captan und Dithianon pro Jahr
Sarcap 800,max. 14 Behandlungen mit Captan und Dithianon pro Jahr,max. 14 Behandlungen mit Captan und Dithianon pro Jahr,max. 14 Behandlungen mit Captan und Dithianon pro Jahr,max. 14 Behandlungen mit Captan und Dithianon pro Jahr,max. 14 Behandlungen mit Captan und Dithianon pro Jahr,max. 14 Behandlungen mit Captan und Dithianon pro Jahr,,max. 14 Behandlungen mit Captan und Dithianon pro Jahr
Sarumo,"max. 4 Behandlungen mit Sterolsynthesehemmern mit demselben Wirkstoff pro Jahr; max. 6 Behandlungen mit Sterolsynthesehemmern pro Jahr, zusätzlich maximal 2 weitere Behandlungen mit Difenoconazol gegen Schorf pro Jahr","max. 4 Behandlungen mit Sterolsynthesehemmern mit demselben Wirkstoff pro Jahr; max. 6 Behandlungen mit Sterolsynthesehemmern pro Jahr, zusätzlich maximal 2 weitere Behandlungen mit Difenoconazol gegen Schorf pro Jahr","max. 4 Behandlungen mit Sterolsynthesehemmern mit demselben Wirkstoff pro Jahr; max. 6 Behandlungen mit Sterolsynthesehemmern pro Jahr, zusätzlich maximal 2 weitere Behandlungen mit Difenoconazol gegen Schorf pro Jahr","max. 4 Behandlungen mit Sterolsynthesehemmern mit demselben Wirkstoff pro Jahr; max. 6 Behandlungen mit Sterolsynthesehemmern pro Jahr, zusätzlich maximal 2 weitere Behandlungen mit Difenoconazol gegen Schorf pro Jahr",,"max. 4 Behandlungen mit Sterolsynthesehemmern mit demselben Wirkstoff pro Jahr; max. 6 Behandlungen mit Sterolsynthesehemmern pro Jahr, zusätzlich maximal 2 weitere Behandlungen mit Difenoconazol gegen Schorf pro Jahr",,"max. 4 Behandlungen mit Sterolsynthesehemmern mit demselben Wirkstoff pro Jahr; max. 6 Behandlungen mit Sterolsynthesehemmern pro Jahr, zusätzlich maximal 2 weitere Behandlungen mit Difenoconazol gegen Schorf pro Jahr"
Scala,max. 3 Behandlungen mit Anilino-Pyrimidinen pro Jahr,max. 3 Behandlungen mit Anilino-Pyrimidinen pro Jahr,max. 3 Behandlungen mit Anilino-Pyrimidinen pro Jahr,max. 3 Behandlungen mit Anilino-Pyrimidinen pro Jahr,max. 3 Behandlungen mit Anilino-Pyrimidinen pro Jahr,max. 3 Behandlungen mit Anilino-Pyrimidinen pro Jahr,,max. 3 Behandlungen mit Anilino-Pyrimidinen pro Jahr
Score 10 WG,"max. 4 Behandlungen mit Sterolsynthesehemmern mit demselben Wirkstoff pro Jahr; max. 6 Behandlungen mit Sterolsynthesehemmern pro Jahr, zusätzlich maximal 2 weitere Behandlungen mit Difenoconazol gegen Schorf pro Jahr","max. 4 Behandlungen mit Sterolsynthesehemmern mit demselben Wirkstoff pro Jahr; max. 6 Behandlungen mit Sterolsynthesehemmern pro Jahr, zusätzlich maximal 2 weitere Behandlungen mit Difenoconazol gegen Schorf pro Jahr","max. 4 Behandlungen mit Sterolsynthesehemmern mit demselben Wirkstoff pro Jahr; max. 6 Behandlungen mit Sterolsynthesehemmern pro Jahr, zusätzlich maximal 2 weitere Behandlungen mit Difenoconazol gegen Schorf pro Jahr","max. 4 Behandlungen mit Sterolsynthesehemmern mit demselben Wirkstoff pro Jahr; max. 6 Behandlungen mit Sterolsynthesehemmern pro Jahr, zusätzlich maximal 2 weitere Behandlungen mit Difenoconazol gegen Schorf pro Jahr","max. 4 Behandlungen mit Sterolsynthesehemmern mit demselben Wirkstoff pro Jahr; max. 6 Behandlungen mit Sterolsynthesehemmern pro Jahr, zusätzlich maximal 2 weitere Behandlungen mit Difenoconazol gegen Schorf pro Jahr","max. 4 Behandlungen mit Sterolsynthesehemmern mit demselben Wirkstoff pro Jahr; max. 6 Behandlungen mit Sterolsynthesehemmern pro Jahr, zusätzlich maximal 2 weitere Behandlungen mit Difenoconazol gegen Schorf pro Jahr",,"max. 4 Behandlungen mit Sterolsynthesehemmern mit demselben Wirkstoff pro Jahr; max. 6 Behandlungen mit Sterolsynthesehemmern pro Jahr, zusätzlich maximal 2 weitere Behandlungen mit Difenoconazol gegen Schorf pro Jahr"
Score 25 EC,"max. 4 Behandlungen mit Sterolsynthesehemmern mit demselben Wirkstoff pro Jahr; max. 6 Behandlungen mit Sterolsynthesehemmern pro Jahr, zusätzlich maximal 2 weitere Behandlungen mit Difenoconazol gegen Schorf pro Jahr","max. 4 Behandlungen mit Sterolsynthesehemmern mit demselben Wirkstoff pro Jahr; max. 6 Behandlungen mit Sterolsynthesehemmern pro Jahr, zusätzlich maximal 2 weitere Behandlungen mit Difenoconazol gegen Schorf pro Jahr","max. 4 Behandlungen mit Sterolsynthesehemmern mit demselben Wirkstoff pro Jahr; max. 6 Behandlungen mit Sterolsynthesehemmern pro Jahr, zusätzlich maximal 2 weitere Behandlungen mit Difenoconazol gegen Schorf pro Jahr","max. 4 Behandlungen mit Sterolsynthesehemmern mit demselben Wirkstoff pro Jahr; max. 6 Behandlungen mit Sterolsynthesehemmern pro Jahr, zusätzlich maximal 2 weitere Behandlungen mit Difenoconazol gegen Schorf pro Jahr","max. 4 Behandlungen mit Sterolsynthesehemmern mit demselben Wirkstoff pro Jahr; max. 6 Behandlungen mit Sterolsynthesehemmern pro Jahr, zusätzlich maximal 2 weitere Behandlungen mit Difenoconazol gegen Schorf pro Jahr","max. 4 Behandlungen mit Sterolsynthesehemmern mit demselben Wirkstoff pro Jahr; max. 6 Behandlungen mit Sterolsynthesehemmern pro Jahr, zusätzlich maximal 2 weitere Behandlungen mit Difenoconazol gegen Schorf pro Jahr",,"max. 4 Behandlungen mit Sterolsynthesehemmern mit demselben Wirkstoff pro Jahr; max. 6 Behandlungen mit Sterolsynthesehemmern pro Jahr, zusätzlich maximal 2 weitere Behandlungen mit Difenoconazol gegen Schorf pro Jahr"
Scudex,"max. 4 Behandlungen mit Sterolsynthesehemmern mit demselben Wirkstoff pro Jahr; max. 6 Behandlungen mit Sterolsynthesehemmern pro Jahr, zusätzlich maximal 2 weitere Behandlungen mit Difenoconazol gegen Schorf pro Jahr","max. 4 Behandlungen mit Sterolsynthesehemmern mit demselben Wirkstoff pro Jahr; max. 6 Behandlungen mit Sterolsynthesehemmern pro Jahr, zusätzlich maximal 2 weitere Behandlungen mit Difenoconazol gegen Schorf pro Jahr","max. 4 Behandlungen mit Sterolsynthesehemmern mit demselben Wirkstoff pro Jahr; max. 6 Behandlungen mit Sterolsynthesehemmern pro Jahr, zusätzlich maximal 2 weitere Behandlungen mit Difenoconazol gegen Schorf pro Jahr","max. 4 Behandlungen mit Sterolsynthesehemmern mit demselben Wirkstoff pro Jahr; max. 6 Behandlungen mit Sterolsynthesehemmern pro Jahr, zusätzlich maximal 2 weitere Behandlungen mit Difenoconazol gegen Schorf pro Jahr",,"max. 4 Behandlungen mit Sterolsynthesehemmern mit demselben Wirkstoff pro Jahr; max. 6 Behandlungen mit Sterolsynthesehemmern pro Jahr, zusätzlich maximal 2 weitere Behandlungen mit Difenoconazol gegen Schorf pro Jahr",,"max. 4 Behandlungen mit Sterolsynthesehemmern mit demselben Wirkstoff pro Jahr; max. 6 Behandlungen mit Sterolsynthesehemmern pro Jahr, zusätzlich maximal 2 weitere Behandlungen mit Difenoconazol gegen Schorf pro Jahr"
Seccherba Respect,9 l/Jahr,,,,9 l/Jahr,,,
Selecta Disperss,max. 4 kg Reinkupfer pro ha und Jahr,,,max. 4 kg Reinkupfer pro ha und Jahr,max. 4 kg Reinkupfer pro ha und Jahr,max. 4 kg Reinkupfer pro ha und Jahr,,max. 4 kg Reinkupfer pro ha und Jahr
Separo,100 ml,,,100 ml,,,,
Sequra WG,"1,5 kg",,"1,5 kg","1,5 kg","1,5 kg",,,
